"gene","cluster_id","logFC","p_val","p_adj.loc"
"LINC01376","Oligodendrocytes",-1.72,2.29e-06,0.00126
"RP11-557H15.4","Oligodendrocytes",-1.73,2.02e-06,0.00126
"AC144449.1","Oligodendrocytes",-0.83,3.31e-06,0.00137
"RP11-326I11.4","Oligodendrocytes",-1.17,8.63e-06,0.00238
"AC009120.4","Oligodendrocytes",-1.02,7.63e-06,0.00238
"RP4-613B23.1","Oligodendrocytes",-1.28,1.14e-05,0.00249
"RP3-453C12.15","Oligodendrocytes",2.58,1.2e-05,0.00249
"CTC-340A15.2","Oligodendrocytes",-5.44,2.17e-05,0.00398
"GLIDR","Oligodendrocytes",-0.844,3.24e-05,0.00536
"RP5-1180C18.1","Oligodendrocytes",0.96,4.59e-05,0.00571
"AC097724.3","Oligodendrocytes",-1.46,4.29e-05,0.00571
"RP1-261D10.2","Oligodendrocytes",-1.8,3.84e-05,0.00571
"PAXBP1-AS1","Oligodendrocytes",-0.942,4.83e-05,0.00571
"RP11-305L7.3","Oligodendrocytes",1.28,5.39e-05,0.00593
"AC017074.2","Oligodendrocytes",1.62,7.85e-05,0.00683
"RP11-167H9.4","Oligodendrocytes",-1.38,6.75e-05,0.00683
"RP11-72M17.1","Oligodendrocytes",-1.54,7.82e-05,0.00683
"MCM3AP-AS1","Oligodendrocytes",1.18,7.06e-05,0.00683
"RP11-428O18.6","Oligodendrocytes",-1.01,0.000122,0.0101
"PKN2-AS1","Oligodendrocytes",-1.2,0.000146,0.0111
"RP11-1129I3.1","Oligodendrocytes",1.66,0.000148,0.0111
"ZFHX4-AS1","Oligodendrocytes",-1.3,0.000182,0.0131
"RP11-584P21.2","Oligodendrocytes",1.43,0.000193,0.0133
"SPANXA2-OT1","Oligodendrocytes",-0.998,0.000207,0.0137
"RP11-53O19.1","Oligodendrocytes",-0.792,0.00023,0.0146
"RP11-707A18.1","Oligodendrocytes",3.58,0.000257,0.0157
"MYLK-AS1","Oligodendrocytes",0.806,0.000305,0.0174
"NEAT1","Oligodendrocytes",1.29,0.000296,0.0174
"USP3-AS1","Oligodendrocytes",-0.823,0.00033,0.0182
"LYPLAL1-AS1","Oligodendrocytes",-1.09,0.000351,0.0187
"AC079807.4","Oligodendrocytes",-1.52,0.000369,0.0191
"FBXL19-AS1","Oligodendrocytes",1.9,0.000383,0.0192
"RFX3-AS1","Oligodendrocytes",-0.896,0.000423,0.0202
"MIR181A2HG","Oligodendrocytes",-0.666,0.000429,0.0202
"RP11-370I10.6","Oligodendrocytes",-0.952,0.000505,0.0232
"AC022182.1","Oligodendrocytes",-1.15,0.000554,0.0247
"RP11-384F7.2","Oligodendrocytes",2.06,0.000632,0.0268
"SDCBP2-AS1","Oligodendrocytes",-0.645,0.000627,0.0268
"RP11-1029J19.5","Oligodendrocytes",-1.87,0.000661,0.0273
"RP5-1021I20.5","Oligodendrocytes",0.698,0.000707,0.0285
"AZIN1-AS1","Oligodendrocytes",-0.808,0.000849,0.0334
"RP11-355F16.1","Oligodendrocytes",-0.914,0.000902,0.034
